Date,USD/INR
16-07-1975,8.47
17-07-1975,8.47
18-07-1975,8.55
21-07-1975,8.55
22-07-1975,8.55
23-07-1975,8.55
24-07-1975,8.55
25-07-1975,8.51
28-07-1975,8.51
29-07-1975,8.51
30-07-1975,8.51
31-07-1975,8.51
01-08-1975,8.62
04-08-1975,8.62
05-08-1975,8.62
06-08-1975,8.62
07-08-1975,8.62
08-08-1975,8.85
11-08-1975,8.85
12-08-1975,8.85
13-08-1975,8.85
14-08-1975,8.85
15-08-1975,8.81
18-08-1975,8.81
19-08-1975,8.81
20-08-1975,8.81
21-08-1975,8.81
22-08-1975,8.85
25-08-1975,8.85
26-08-1975,8.85
27-08-1975,8.85
28-08-1975,8.85
29-08-1975,8.93
01-09-1975,
02-09-1975,8.93
03-09-1975,8.93
04-09-1975,8.93
05-09-1975,8.77
08-09-1975,8.77
09-09-1975,8.77
10-09-1975,8.77
11-09-1975,8.77
12-09-1975,8.81
15-09-1975,8.81
16-09-1975,8.81
17-09-1975,8.81
18-09-1975,8.81
19-09-1975,8.93
22-09-1975,8.93
23-09-1975,8.93
24-09-1975,8.93
25-09-1975,8.93
26-09-1975,8.94
29-09-1975,8.94
30-09-1975,8.94
01-10-1975,8.94
02-10-1975,8.94
03-10-1975,8.97
06-10-1975,8.97
07-10-1975,8.97
08-10-1975,8.97
09-10-1975,8.97
10-10-1975,8.89
13-10-1975,
14-10-1975,8.89
15-10-1975,8.89
16-10-1975,8.89
17-10-1975,8.89
20-10-1975,8.89
21-10-1975,8.89
22-10-1975,8.89
23-10-1975,8.89
24-10-1975,8.85
27-10-1975,8.85
28-10-1975,8.85
29-10-1975,8.85
30-10-1975,8.73
31-10-1975,8.81
03-11-1975,8.81
04-11-1975,
05-11-1975,8.81
06-11-1975,8.81
07-11-1975,8.81
10-11-1975,8.81
11-11-1975,
12-11-1975,8.81
13-11-1975,8.81
14-11-1975,8.93
17-11-1975,8.93
18-11-1975,8.93
19-11-1975,8.93
20-11-1975,8.93
21-11-1975,8.97
24-11-1975,8.97
25-11-1975,8.97
26-11-1975,8.97
27-11-1975,
28-11-1975,9.09
01-12-1975,9.09
02-12-1975,9.09
03-12-1975,9.09
04-12-1975,9.09
05-12-1975,8.93
08-12-1975,8.93
09-12-1975,8.93
10-12-1975,8.93
11-12-1975,8.93
12-12-1975,8.97
15-12-1975,8.97
16-12-1975,8.97
17-12-1975,8.97
18-12-1975,8.97
19-12-1975,8.97
22-12-1975,8.97
23-12-1975,8.97
24-12-1975,8.97
25-12-1975,
26-12-1975,8.97
29-12-1975,8.97
30-12-1975,8.97
31-12-1975,8.97
01-01-1976,
02-01-1976,8.97
05-01-1976,8.97
06-01-1976,8.97
07-01-1976,8.97
08-01-1976,8.97
09-01-1976,8.93
12-01-1976,8.93
13-01-1976,8.93
14-01-1976,8.93
15-01-1976,8.91
16-01-1976,8.93
19-01-1976,8.93
20-01-1976,8.93
21-01-1976,8.93
22-01-1976,8.93
23-01-1976,8.97
26-01-1976,8.97
27-01-1976,8.97
28-01-1976,8.97
29-01-1976,8.97
30-01-1976,8.91
02-02-1976,8.91
03-02-1976,8.91
04-02-1976,8.91
05-02-1976,8.91
06-02-1976,8.93
09-02-1976,8.93
10-02-1976,8.93
11-02-1976,8.93
12-02-1976,
13-02-1976,8.94
16-02-1976,
17-02-1976,8.94
18-02-1976,8.94
19-02-1976,8.94
20-02-1976,8.97
23-02-1976,8.97
24-02-1976,8.97
25-02-1976,8.97
26-02-1976,8.97
27-02-1976,8.93
01-03-1976,8.93
02-03-1976,8.93
03-03-1976,8.93
04-03-1976,8.93
05-03-1976,8.93
08-03-1976,9.09
09-03-1976,9.09
10-03-1976,9.09
11-03-1976,9.09
12-03-1976,8.93
15-03-1976,8.93
16-03-1976,8.93
17-03-1976,8.93
18-03-1976,8.93
